note,pitch,duration,chord,bar,mapped voice,cost,category
0,67,1/2,0,1,0,n/a,match
1,67,1/2,1,1 1/2,0,n/a,match
2,67,1/2,2,1 1/1,0,n/a,match
3,55,1/2,3,2,2,n/a,match
4,70,1/2,3,2,0,n/a,match
5,55,1/2,4,2 1/2,2,n/a,match
6,55,1/2,5,2 1/1,2,n/a,match
7,67,1/2,5,2 1/1,0,n/a,match
8,58,1/2,6,3,2,n/a,match
9,65,1/2,6,3,0,n/a,match
10,70,1/2,7,3 1/2,0,n/a,match
11,55,1/2,8,3 1/1,2,n/a,match
12,50,1/2,9,4,3,n/a,match
13,53,1/2,9,4,2,n/a,match
14,69,1/2,9,4,0,n/a,match
15,50,1/2,10,4 1/2,3,n/a,match
16,62,1/2,10,4 1/2,2,n/a,match
17,50,1/2,11,4 1/1,3,n/a,match
18,53,1/2,12,5,3,n/a,match
19,57,1/2,12,5,1,n/a,match
20,60,1/2,12,5,2,n/a,match
21,57,1/4,13,5 1/2,1,n/a,match
22,53,1/4,14,5 3/4,2,n/a,match
23,50,1/2,15,5 1/1,3,n/a,match
24,53,1/2,15,5 1/1,2,n/a,match
25,57,1/2,15,5 1/1,1,n/a,match
26,48,1/2,16,6,3,n/a,match
27,60,1/2,16,6,1,n/a,match
28,53,1/2,17,6 1/2,3,n/a,match
29,57,1/2,18,6 1/1,1,n/a,match
30,51,1/2,19,7,3,n/a,ficta
31,55,1/2,19,7,1,n/a,match
32,67,1/2,19,7,0,n/a,match
33,48,1/2,20,7 1/2,3,n/a,match
34,60,1/2,20,7 1/2,1,n/a,match
35,67,1/2,20,7 1/2,0,n/a,match
36,67,1/4,21,7 1/1,0,n/a,match
37,46,1/4,22,7 5/4,3,n/a,match
38,43,1/2,23,8,3,n/a,match
39,55,1/2,23,8,2,n/a,match
40,58,1/2,23,8,1,n/a,match
41,70,1/2,23,8,0,n/a,match
42,55,1/2,24,8 1/2,2,n/a,match
43,55,1/2,25,8 1/1,2,n/a,match
44,67,1/2,25,8 1/1,0,n/a,match
45,58,1/2,26,9,2,n/a,match
46,62,1/2,26,9,1,n/a,match
47,65,1/2,26,9,0,n/a,match
48,62,1/4,27,9 1/2,1,n/a,match
49,70,1/4,27,9 1/2,0,n/a,match
50,57,1/4,28,9 3/4,2,n/a,match
51,55,1/4,29,9 1/1,2,n/a,match
52,62,1/4,29,9 1/1,1,n/a,match
53,70,1/4,30,9 5/4,0,n/a,match
54,50,1/2,31,10,3,n/a,match
55,53,1/2,31,10,2,n/a,match
56,65,1/2,31,10,1,n/a,match
57,69,1/2,31,10,0,n/a,match
58,50,1/2,32,10 1/2,3,n/a,match
59,65,1/2,32,10 1/2,0,n/a,match
60,50,1/2,33,10 1/1,3,n/a,match
61,62,1/2,33,10 1/1,1,n/a,match
62,53,1/2,34,11,3,n/a,match
63,57,1/2,34,11,2,n/a,match
64,60,1/2,34,11,1,n/a,match
65,57,1/2,35,11 1/2,2,n/a,match
66,65,1/2,35,11 1/2,1,n/a,match
67,50,1/4,36,11 1/1,3,n/a,match
68,57,1/4,36,11 1/1,2,n/a,match
69,65,1/4,37,11 5/4,1,n/a,match
70,48,1/2,38,12,3,n/a,match
71,60,1/2,38,12,2,n/a,match
72,63,1/2,38,12,1,n/a,ficta
73,53,1/2,39,12 1/2,3,n/a,match
74,60,1/2,39,12 1/2,1,n/a,match
75,57,1/4,40,12 1/1,2,n/a,match
76,53,1/4,41,12 5/4,3,n/a,match
77,51,1/2,42,13,3,n/a,ficta
78,55,1/2,42,13,2,n/a,match
79,48,3/4,43,13 1/2,3,n/a,match
80,60,3/4,43,13 1/2,2,n/a,match
81,60,1/4,44,13 5/4,2,n/a,match
82,55,3/4,45,14,3,n/a,match
83,58,3/4,45,14,2,n/a,match
84,62,3/4,45,14,1,n/a,match
85,55,1/4,46,14 3/4,3,n/a,match
86,55,1/4,47,14 1/1,3,n/a,match
87,62,1/4,47,14 1/1,1,n/a,match
88,55,1/4,48,14 5/4,3,0,repetition
89,58,1/4,48,14 5/4,2,0,repetition
90,62,1/4,48,14 5/4,1,0,repetition
91,53,1/2,49,15,3,n/a,match
92,57,1/2,49,15,2,n/a,match
93,62,1/2,49,15,1,n/a,match
94,55,3/4,50,15 1/2,3,n/a,match
95,58,3/4,50,15 1/2,2,n/a,match
96,62,3/4,50,15 1/2,1,n/a,match
97,52,1/4,51,15 5/4,3,n/a,match
98,62,1/4,51,15 5/4,1,0,repetition
99,53,1/2,52,16,3,n/a,match
100,57,1/2,52,16,2,n/a,match
101,62,1/2,52,16,1,n/a,match
102,55,3/4,53,16 1/2,3,n/a,match
103,58,3/4,53,16 1/2,2,n/a,match
104,63,3/4,53,16 1/2,1,n/a,match
105,62,1/4,54,16 5/4,1,n/a,match
106,50,3/4,55,17,3,n/a,match
107,57,3/4,55,17,2,n/a,match
108,62,3/4,55,17,1,n/a,match
109,69,3/4,55,17,0,n/a,match
110,69,1/4,56,17 3/4,0,n/a,match
111,53,1/2,57,17 1/1,2,n/a,match
112,69,1/2,57,17 1/1,0,n/a,match
113,50,1/2,58,18,2,n/a,match
114,62,1/2,58,18,1,0,repetition
115,69,1/2,58,18,0,n/a,match
116,55,3/4,59,18 1/2,2,n/a,match
117,70,3/4,59,18 1/2,0,n/a,match
118,55,1/4,60,18 5/4,2,n/a,match
119,67,1/4,60,18 5/4,0,n/a,match
120,53,1/2,61,19,2,n/a,match
121,62,1/2,61,19,1,0,repetition
122,69,1/2,61,19,0,n/a,match
123,55,1/1,62,19 1/2,2,n/a,match
124,70,1/1,62,19 1/2,0,n/a,match
125,50,1/2,63,20,2,n/a,match
126,62,1/2,63,20,1,n/a,match
127,69,1/2,63,20,0,n/a,match
128,62,1/2,64,20 1/2,1,n/a,match
129,62,1/2,65,20 1/1,1,n/a,match
130,50,1/2,66,21,3,0,repetition
131,65,1/2,66,21,1,n/a,match
132,69,1/2,66,21,0,n/a,match
133,69,1/2,67,21 1/2,0,n/a,match
134,62,1/2,68,21 1/1,1,n/a,match
135,69,1/2,68,21 1/1,0,n/a,match
136,60,1/2,69,22,1,n/a,match
137,72,1/2,69,22,0,n/a,match
138,65,1/2,70,22 1/2,1,n/a,match
139,69,1/2,71,22 1/1,0,n/a,match
140,63,1/2,72,23,1,n/a,match
141,67,1/2,72,23,0,n/a,match
142,72,1/2,73,23 1/2,0,n/a,match
143,60,1/2,74,23 1/1,1,n/a,match
144,62,1/2,75,24,1,n/a,match
145,70,1/2,75,24,0,n/a,match
146,63,1/2,76,24 1/2,1,n/a,match
147,67,1/2,76,24 1/2,0,n/a,match
148,60,1/2,77,24 1/1,1,n/a,match
149,69,1/2,77,24 1/1,0,n/a,match
150,62,1/2,78,25,1,n/a,match
151,70,1/2,78,25,0,n/a,match
152,58,1/4,79,25 1/2,1,n/a,match
153,69,1/4,80,25 3/4,0,n/a,match
154,67,1/4,81,25 1/1,0,n/a,match
155,60,1/4,82,25 5/4,1,n/a,match
156,50,1/16,83,26,3,n/a,match
157,62,1/16,83,26,1,n/a,match
158,65,1/16,83,26,0,n/a,match
159,64,1/16,84,26 1/16,0,n/a,ornamentation
160,65,1/16,85,26 1/8,0,n/a,ornamentation
161,67,1/16,86,26 3/16,0,n/a,ornamentation
162,69,1/16,87,26 1/4,0,n/a,ornamentation
163,65,1/16,88,26 5/16,0,n/a,ornamentation
164,67,1/16,89,26 3/8,0,n/a,ornamentation
165,69,1/16,90,26 7/16,0,n/a,ornamentation
166,55,1/16,91,26 1/2,3,n/a,match
167,62,1/16,91,26 1/2,1,0,repetition
168,70,1/16,91,26 1/2,0,0,repetition
169,69,1/16,92,26 9/16,0,n/a,ornamentation
170,67,1/16,93,26 5/8,0,n/a,ornamentation
171,69,1/16,94,26 11/16,0,n/a,ornamentation
172,62,1/16,95,26 3/4,2,n/a,match
173,70,1/16,95,26 3/4,0,0,repetition
174,67,1/16,96,26 13/16,0,n/a,ornamentation
175,69,1/16,97,26 7/8,0,n/a,ornamentation
176,70,1/16,98,26 15/16,0,n/a,ornamentation
177,53,1/4,99,27,3,n/a,match
178,69,1/4,99,27,0,n/a,match
179,50,1/4,100,27 1/4,3,n/a,match
180,62,1/4,100,27 1/4,2,n/a,match
181,53,1/4,101,27 1/2,3,n/a,match
182,60,1/4,101,27 1/2,2,n/a,match
183,69,1/4,101,27 1/2,0,0,repetition
184,60,1/8,102,27 3/4,1,n/a,match
185,51,1/8,103,27 7/8,3,n/a,ficta
186,48,1/4,104,28,3,n/a,match
187,60,1/4,104,28,2,n/a,match
188,48,1/8,105,28 1/4,3,n/a,match
189,67,1/8,105,28 1/4,0,n/a,match
190,58,1/8,106,28 3/8,2,n/a,match
191,51,1/4,107,28 1/2,3,n/a,match
192,55,1/4,107,28 1/2,2,n/a,match
193,58,1/4,107,28 1/2,1,n/a,match
194,55,1/8,108,28 3/4,1,n/a,match
195,58,1/8,108,28 3/4,2,n/a,match
196,67,1/8,108,28 3/4,0,n/a,match
197,51,1/8,109,28 7/8,3,n/a,match
198,50,1/4,110,29,3,n/a,match
199,58,1/4,110,29,1 and 2,n/a,match
200,65,1/4,110,29,0,n/a,match
201,46,1/8,111,29 1/4,3,n/a,match
202,62,1/8,111,29 1/4,0,n/a,match
