note,pitch,duration,onset,chord,bar,mapped voice,cost,category
0,58,1/4,0/96,0,1,4,n/a,match
1,58,1/4,1/4,1,1 1/4,2,n/a,match
2,55,1/4,1/2,2,1 1/2,4,n/a,match
3,55,1/4,3/4,3,1 3/4,2,n/a,match
4,58,1/4,3/4,3,1 3/4,4,n/a,match
5,58,1/4,1/1,4,2,2,n/a,match
6,57,1/8,5/4,5,2 1/4,4,n/a,match
7,55,1/8,11/8,6,2 3/8,4,n/a,match
8,53,3/8,3/2,7,2 1/2,4,n/a,match
9,57,3/8,3/2,7,2 1/2,2,n/a,match
10,55,1/8,15/8,8,2 7/8,2 and 4,n/a,match
11,53,1/4,2/1,9,3,2,n/a,match
12,57,1/4,2/1,9,3,4,n/a,match
13,50,1/4,9/4,10,3 1/4,4,n/a,match
14,53,1/4,9/4,10,3 1/4,2,n/a,match
15,51,1/4,5/2,11,3 1/2,4,n/a,match
16,55,1/4,5/2,11,3 1/2,2,n/a,match
17,55,1/4,11/4,12,3 3/4,2,n/a,match
18,55,1/4,3/1,13,4,2,n/a,match
19,50,1/4,13/4,14,4 1/4,4,n/a,match
20,57,1/4,13/4,14,4 1/4,2,n/a,match
21,48,1/8,7/2,15,4 1/2,4,n/a,match
22,55,1/8,29/8,16,4 5/8,2,n/a,match
23,46,1/4,15/4,17,4 3/4,4,n/a,match
24,55,1/4,15/4,17,4 3/4,2,n/a,match
25,45,3/16,4/1,18,5,4,n/a,match
26,54,1/16,67/16,19,5 3/16,2,n/a,ornamentation
27,55,1/16,17/4,20,5 1/4,2,0,repetition
28,54,1/16,69/16,21,5 5/16,2,n/a,ornamentation
29,55,1/32,35/8,22,5 3/8,2,n/a,ornamentation
30,54,1/32,141/32,23,5 13/32,2,n/a,ornamentation
31,52,1/32,71/16,24,5 7/16,2,n/a,ornamentation
32,54,1/32,143/32,25,5 15/32,2,n/a,ornamentation
33,43,1/4,9/2,26,5 1/2,4,n/a,match
34,55,1/4,9/2,26,5 1/2,2,n/a,match
35,55,1/8,19/4,27,5 3/4,4,n/a,match
36,70,1/8,19/4,27,5 3/4,0,n/a,match
37,57,1/8,39/8,28,5 7/8,2,n/a,match
38,58,1/4,5/1,29,6,2,n/a,match
39,48,1/4,21/4,30,6 1/4,4,n/a,match
40,60,1/4,21/4,30,6 1/4,2,n/a,match
41,67,1/4,21/4,30,6 1/4,0,n/a,match
42,55,3/16,11/2,31,6 1/2,4,n/a,match
43,62,3/16,11/2,31,6 1/2,2,n/a,match
44,70,3/16,11/2,31,6 1/2,0,n/a,match
45,64,1/32,91/16,32,6 11/16,2,n/a,ornamentation
46,62,1/32,183/32,33,6 23/32,2,n/a,ornamentation
47,65,1/16,23/4,34,6 3/4,2,3,adaptation
48,64,1/16,93/16,35,6 13/16,2,n/a,ornamentation
49,65,1/32,47/8,36,6 7/8,2,n/a,ornamentation
50,64,1/32,189/32,37,6 29/32,2,n/a,ornamentation
51,62,1/32,95/16,38,6 15/16,2,n/a,ornamentation
